coa alan clements .xml,"[['computer', 'systems', 'architecture'], ['processor', 'level', 'paralleslism'], ['input/output'], ['main', 'memory'], ['cache', 'memory', 'virtual', 'memory'], ['beyond', 'risc', ':', 'superscalar', ',', 'vliw', ',', 'itanium', 'superscalar', 'architecture'], ['processor', 'control'], ['performance-', 'meaning', 'metrics'], ['computer', 'architecture', 'multimedia'], ['instruction', 'set', 'architecture-', 'breadth', 'depth'], ['architecture', 'organization'], ['computer', 'arithmetic', 'digital', 'logic']]"
Coa ian east.xml,"[['computation'], ['survey', 'contemporary', 'processor', 'architecture'], ['system', 'organization'], ['processor', 'organization'], ['control', 'units'], ['component', 'level'], ['element', 'level'], ['data', 'representation', 'notation'], ['machine', 'language'], ['software', 'engineering']]"
coa linda and julia 2nd edition.xml,"[['introduction'], ['selected', 'storage', 'systems', 'interfaces'], ['network', 'organization', 'architecture'], ['performance', 'measurement', 'analysis'], ['topics', 'embedded', 'systems'], ['alternative', 'architectures'], ['system', 'software'], ['input/output', 'storage', 'systems'], ['memory'], ['closer', 'look', 'instruction', 'set', 'architectures'], ['marie', ':', 'introduction', 'simple', 'computer'], ['boolean', 'algebra', 'digital', 'logic'], ['data', 'representation', 'computer', 'systems']]"
coa linda and julia.xml,"[['introduction'], ['network', 'organization', 'architecture'], ['performance', 'measurement', 'analysis'], ['alternative', 'architectures'], ['system', 'software'], ['input/output', 'storage', 'systems'], ['memory'], ['closer', 'look', 'instruction', 'set', 'architectures'], ['marie', ':', 'introduction', 'simple', 'computer'], ['boolean', 'algebra', 'digital', 'logic'], ['data', 'representation', 'computer', 'systems']]"
coa mostafa and hesham.xml,"[['introduction', 'computer', 'systems'], ['introduction', 'multiprocessors'], ['risc'], ['pipelining', 'design', 'techniques'], ['input–output', 'design', 'organization'], ['memory', 'system', 'design', '1'], ['memory', 'system', 'design', '2'], ['processing', 'unit', 'design'], ['computer', 'arithmetic'], ['assembly', 'language', 'programming'], ['instruction', 'set', 'architecture', 'design']]"
coa petterson.xml,"[['computer', 'abstractions', 'technology'], ['multiprocessors', 'clusters'], ['storage', ',', 'networks', ',', 'peripherals'], ['enhancing', 'performance', 'pipelining'], ['processor', 'datapath', 'control'], ['assessing', 'understanding', 'performance'], ['arithmetic', 'computers'], ['instruactions', 'language', 'computer']]"
coa sajjan g shiva.xml,"[['introduction'], ['performance', 'evaluation'], ['computer', 'networks', 'distributed', 'processing'], ['embedded', 'systems'], ['advanced', 'architectures'], ['control', 'unit', 'enhancement'], ['arithmetic', 'logic', 'unit', 'enhancement'], ['memory', 'storage'], ['processor', 'instruction', 'set', 'architectures'], ['input/output'], ['simple', 'computer', ':', 'hardware', 'design'], ['simple', 'computer', ':', 'organization', 'programming'], ['synchronous', 'sequential', 'circuit'], ['combinational', 'logic'], ['number', 'system', 'codes']]"
coa willings stallings.xml,"[['basic', 'concepts', 'computer', 'evolution'], ['microprogrammed', 'control'], ['control', 'unit', 'operation'], ['\xadgeneral-\u200b\xadpurpose', 'graphic', 'processing', 'units'], ['multicore', 'computers'], ['parallel', 'processing'], ['\xadinstruction-\u200b\xadlevel', 'parallelism', 'superscalar', 'processors'], ['reduced', 'instruction', 'set', 'computers'], ['processor', 'structure', 'function'], ['instruction', 'sets', ':', 'addressing', 'modes', 'formats'], ['processor', 'structure', 'function'], ['instruction', 'sets', ':', 'addressing', 'modes', 'formats'], ['instruction', 'sets', ':', 'characteristics', 'functions'], ['digital', 'logic'], ['computer', 'arithmetic'], ['number', 'systems'], ['operating', 'system', 'support'], ['input/output'], ['external', 'memory'], ['internal', 'memory'], ['cache', 'memory'], ['\xadtop-\u200b\xadlevel', 'view', 'computer', 'function', 'interconnection'], ['performance', 'issues']]"
coa alan clements .xml,"[['computer', 'systems', 'architecture'], ['processor', 'level', 'paralleslism'], ['input/output'], ['main', 'memory'], ['cache', 'memory', 'virtual', 'memory'], ['beyond', 'risc', ':', 'superscalar', ',', 'vliw', ',', 'itanium', 'superscalar', 'architecture'], ['processor', 'control'], ['performance-', 'meaning', 'metrics'], ['computer', 'architecture', 'multimedia'], ['instruction', 'set', 'architecture-', 'breadth', 'depth'], ['architecture', 'organization'], ['computer', 'arithmetic', 'digital', 'logic']]"
Coa ian east.xml,"[['computation'], ['survey', 'contemporary', 'processor', 'architecture'], ['system', 'organization'], ['processor', 'organization'], ['control', 'units'], ['component', 'level'], ['element', 'level'], ['data', 'representation', 'notation'], ['machine', 'language'], ['software', 'engineering']]"
coa linda and julia 2nd edition.xml,"[['introduction'], ['selected', 'storage', 'systems', 'interfaces'], ['network', 'organization', 'architecture'], ['performance', 'measurement', 'analysis'], ['topics', 'embedded', 'systems'], ['alternative', 'architectures'], ['system', 'software'], ['input/output', 'storage', 'systems'], ['memory'], ['closer', 'look', 'instruction', 'set', 'architectures'], ['marie', ':', 'introduction', 'simple', 'computer'], ['boolean', 'algebra', 'digital', 'logic'], ['data', 'representation', 'computer', 'systems']]"
coa linda and julia.xml,"[['introduction'], ['network', 'organization', 'architecture'], ['performance', 'measurement', 'analysis'], ['alternative', 'architectures'], ['system', 'software'], ['input/output', 'storage', 'systems'], ['memory'], ['closer', 'look', 'instruction', 'set', 'architectures'], ['marie', ':', 'introduction', 'simple', 'computer'], ['boolean', 'algebra', 'digital', 'logic'], ['data', 'representation', 'computer', 'systems']]"
coa mostafa and hesham.xml,"[['introduction', 'computer', 'systems'], ['introduction', 'multiprocessors'], ['risc'], ['pipelining', 'design', 'techniques'], ['input–output', 'design', 'organization'], ['memory', 'system', 'design', '1'], ['memory', 'system', 'design', '2'], ['processing', 'unit', 'design'], ['computer', 'arithmetic'], ['assembly', 'language', 'programming'], ['instruction', 'set', 'architecture', 'design']]"
coa petterson.xml,"[['computer', 'abstractions', 'technology'], ['multiprocessors', 'clusters'], ['storage', ',', 'networks', ',', 'peripherals'], ['enhancing', 'performance', 'pipelining'], ['processor', 'datapath', 'control'], ['assessing', 'understanding', 'performance'], ['arithmetic', 'computers'], ['instruactions', 'language', 'computer']]"
coa sajjan g shiva.xml,"[['introduction'], ['performance', 'evaluation'], ['computer', 'networks', 'distributed', 'processing'], ['embedded', 'systems'], ['advanced', 'architectures'], ['control', 'unit', 'enhancement'], ['arithmetic', 'logic', 'unit', 'enhancement'], ['memory', 'storage'], ['processor', 'instruction', 'set', 'architectures'], ['input/output'], ['simple', 'computer', ':', 'hardware', 'design'], ['simple', 'computer', ':', 'organization', 'programming'], ['synchronous', 'sequential', 'circuit'], ['combinational', 'logic'], ['number', 'system', 'codes']]"
coa willings stallings.xml,"[['basic', 'concepts', 'computer', 'evolution'], ['microprogrammed', 'control'], ['control', 'unit', 'operation'], ['\xadgeneral-\u200b\xadpurpose', 'graphic', 'processing', 'units'], ['multicore', 'computers'], ['parallel', 'processing'], ['\xadinstruction-\u200b\xadlevel', 'parallelism', 'superscalar', 'processors'], ['reduced', 'instruction', 'set', 'computers'], ['processor', 'structure', 'function'], ['instruction', 'sets', ':', 'addressing', 'modes', 'formats'], ['processor', 'structure', 'function'], ['instruction', 'sets', ':', 'addressing', 'modes', 'formats'], ['instruction', 'sets', ':', 'characteristics', 'functions'], ['digital', 'logic'], ['computer', 'arithmetic'], ['number', 'systems'], ['operating', 'system', 'support'], ['input/output'], ['external', 'memory'], ['internal', 'memory'], ['cache', 'memory'], ['\xadtop-\u200b\xadlevel', 'view', 'computer', 'function', 'interconnection'], ['performance', 'issues']]"
